Year,Location_ID,Company_ID,Track_type_ID,Value,Scalar_ID,UOM_ID
1995,CN,CNPC,21,8962,0,196
1995,CN,CNPC,22,6694,0,196
1995,CN,CNPC,23,4956,0,196
1995,CN,CNPC,12,6256,0,196
1995,CN,CNPC,31,2470,0,196
1995,CN,CNPC,32,1994,0,196
1995,CN,CNPC,33,1791,0,196
1995,CN,VIAR,1,0,0,196
1995,CN,VIAR,11,0,0,196
1995,CN,VIAR,21,0,0,196
1995,CN,VIAR,22,0,0,196
1995,CN,VIAR,23,0,0,196
1995,CN,VIAR,12,0,0,196
1995,CN,VIAR,31,0,0,196
1995,CN,VIAR,32,0,0,196
1995,CN,VIAR,33,0,0,196
1995,CN,RGRL,1,10803,0,196
1995,CN,RGRL,11,7852,0,196
1995,CN,RGRL,21,5883,0,196
1995,CN,RGRL,22,341,0,196
1995,CN,RGRL,23,1628,0,196
1995,CN,RGRL,12,2951,0,196
1995,CN,RGRL,31,1649,0,196
1995,CN,RGRL,32,280,0,196
1995,CN,RGRL,33,1023,0,196
1996,CN,ALL,1,77390,0,196
1996,CN,ALL,11,65576,0,196
1996,CN,ALL,21,45931,0,196
1996,CN,ALL,22,3321,0,196
1996,CN,ALL,23,16325,0,196
1996,CN,ALL,12,11814,0,196
1996,CN,ALL,31,5931,0,196
1996,CN,ALL,32,717,0,196
1996,CN,ALL,33,5166,0,196
1996,CN,CNNL,1,41086,0,196
1996,CN,CNNL,11,37704,0,196
1996,CN,CNNL,21,25841,0,196
1996,CN,CNNL,22,2062,0,196
1996,CN,CNNL,23,9801,0,196
1996,CN,CNNL,12,3382,0,196
1996,CN,CNNL,31,467,0,196
1996,CN,CNNL,32,64,0,196
1996,CN,CNNL,33,2850,0,196
1996,CN,CNPC,1,25757,0,196
1996,CN,CNPC,11,20086,0,196
1996,CN,CNPC,21,14099,0,196
1996,CN,CNPC,22,1096,0,196
1996,CN,CNPC,23,4891,0,196
1996,CN,CNPC,12,5671,0,196
1996,CN,CNPC,31,3566,0,196
1996,CN,CNPC,32,454,0,196
1996,CN,CNPC,33,1651,0,196
1996,CN,VIAR,1,100,0,196
1996,CN,VIAR,11,92,0,196
1996,CN,VIAR,21,92,0,196
1996,CN,VIAR,22,0,0,196
1996,CN,VIAR,23,0,0,196
1996,CN,VIAR,12,8,0,196
1996,CN,VIAR,31,8,0,196
1996,CN,VIAR,32,0,0,196
1996,CN,VIAR,33,0,0,196
1996,CN,RGRL,1,10448,0,196
1996,CN,RGRL,11,7694,0,196
1996,CN,RGRL,21,5899,0,196
1996,CN,RGRL,22,162,0,196
1996,CN,RGRL,23,1633,0,196
1996,CN,RGRL,12,2753,0,196
1996,CN,RGRL,31,1890,0,196
1996,CN,RGRL,32,198,0,196
1996,CN,RGRL,33,665,0,196
1997,CN,ALL,1,76063,0,196
1997,CN,ALL,11,64395,0,196
1997,CN,ALL,21,45030,0,196
1997,CN,ALL,22,3229,0,196
1997,CN,ALL,23,16136,0,196
1997,CN,ALL,12,11667,0,196
1997,CN,ALL,31,5847,0,196
1997,CN,ALL,32,684,0,196
1997,CN,ALL,33,5136,0,196
1997,CN,CNNL,1,37738,0,196
1997,CN,CNNL,11,34511,0,196
1997,CN,CNNL,21,23120,0,196
1997,CN,CNNL,22,2042,0,196
1997,CN,CNNL,23,9350,0,196
1997,CN,CNNL,12,3227,0,196
1997,CN,CNNL,31,468,0,196
1997,CN,CNNL,32,64,0,196
1997,CN,CNNL,33,2695,0,196
1997,CN,CNPC,1,25269,0,196
1997,CN,CNPC,11,19225,0,196
1997,CN,CNPC,21,13358,0,196
1997,CN,CNPC,22,988,0,196
1997,CN,CNPC,23,4878,0,196
1997,CN,CNPC,12,6044,0,196
1997,CN,CNPC,31,3832,0,196
1997,CN,CNPC,32,453,0,196
1997,CN,CNPC,33,1759,0,196
1997,CN,VIAR,1,100,0,196
1997,CN,VIAR,11,92,0,196
1997,CN,VIAR,21,92,0,196
1997,CN,VIAR,22,0,0,196
1997,CN,VIAR,23,0,0,196
1997,CN,VIAR,12,8,0,196
1997,CN,VIAR,31,8,0,196
1997,CN,VIAR,32,0,0,196
1997,CN,VIAR,33,0,0,196
1997,CN,RGRL,1,12956,0,196
1997,CN,RGRL,11,10567,0,196
1997,CN,RGRL,21,8460,0,196
1997,CN,RGRL,22,199,0,196
1997,CN,RGRL,23,1908,0,196
1997,CN,RGRL,12,2388,0,196
1997,CN,RGRL,31,1539,0,196
