Year,Location_ID,Company_ID,Usage_ID,Value,Scalar_ID,UOM_ID
2002,CN,ALL,DWT,7487,3,203
2002,CN,ALL,COST,712742623,0,81
2002,CN,CNNL,D,910726,3,203
2002,CN,CNNL,DF,868589,3,203
2002,CN,CNNL,DP,0,3,203
2002,CN,CNNL,DYS,39797,3,203
2002,CN,CNNL,DWT,2340,3,203
2002,CN,CNNL,COST,321268267,0,81
2002,CN,CNPC,D,786132,3,203
2002,CN,CNPC,DF,763953,3,203
2002,CN,CNPC,DP,0,3,203
2002,CN,CNPC,DYS,19540,3,203
2002,CN,CNPC,DWT,2639,3,203
2002,CN,CNPC,COST,288691605,0,81
2002,CN,VIAR,D,60824,3,203
2002,CN,VIAR,DF,0,3,203
2002,CN,VIAR,DP,60550,3,203
2002,CN,VIAR,DYS,274,3,203
2002,CN,VIAR,DWT,0,3,203
2002,CN,VIAR,COST,24159832,0,81
2002,CN,RGRL,D,212059,3,203
2002,CN,RGRL,DF,186819,3,203
2002,CN,RGRL,DP,7578,3,203
2002,CN,RGRL,DYS,15153,3,203
2002,CN,RGRL,DWT,2509,3,203
2002,CN,RGRL,COST,78622919,0,81
2003,CN,ALL,D,2007813,3,203
2003,CN,ALL,DF,1865509,3,203
2003,CN,ALL,DP,65428,3,203
2003,CN,ALL,DYS,70136,3,203
2003,CN,ALL,DWT,6741,3,203
2003,CN,ALL,COST,761278286,0,81
2003,CN,CNNL,D,912280,3,203
2003,CN,CNNL,DF,872848,3,203
2003,CN,CNNL,DP,462,3,203
2003,CN,CNNL,DYS,37101,3,203
2003,CN,CNNL,DWT,1870,3,203
2003,CN,CNNL,COST,332653051,0,81
2003,CN,CNPC,D,828027,3,203
2003,CN,CNPC,DF,807845,3,203
2003,CN,CNPC,DP,0,3,203
2003,CN,CNPC,DYS,17786,3,203
2003,CN,CNPC,DWT,2396,3,203
2003,CN,CNPC,COST,319635513,0,81
2003,CN,VIAR,D,61170,3,203
2003,CN,VIAR,DF,0,3,203
2003,CN,VIAR,DP,60873,3,203
2003,CN,VIAR,DYS,297,3,203
2003,CN,VIAR,DWT,0,3,203
2003,CN,VIAR,COST,23715977,0,81
2003,CN,RGRL,D,206336,3,203
2003,CN,RGRL,DF,184816,3,203
2003,CN,RGRL,DP,4094,3,203
2003,CN,RGRL,DYS,14951,3,203
2003,CN,RGRL,DWT,2475,3,203
2003,CN,RGRL,COST,85273745,0,81
2004,CN,ALL,D,2097070,3,203
2004,CN,ALL,DF,1953907,3,203
2004,CN,ALL,DP,64848,3,203
2004,CN,ALL,DYS,72421,3,203
2004,CN,ALL,DWT,5894,3,203
2004,CN,ALL,COST,846488822,0,81
2004,CN,CNNL,D,973265,3,203
2004,CN,CNNL,DF,932652,3,203
2004,CN,CNNL,DP,492,3,203
2004,CN,CNNL,DYS,38378,3,203
2004,CN,CNNL,DWT,1743,3,203
2004,CN,CNNL,COST,372890511,0,81
2004,CN,CNPC,D,861153,3,203
2004,CN,CNPC,DF,841623,3,203
2004,CN,CNPC,DP,0,3,203
2004,CN,CNPC,DYS,17947,3,203
2004,CN,CNPC,DWT,1584,3,203
2004,CN,CNPC,COST,355249447,0,81
2004,CN,VIAR,D,60638,3,203
2004,CN,VIAR,DF,0,3,203
2004,CN,VIAR,DP,60365,3,203
2004,CN,VIAR,DYS,273,3,203
2004,CN,VIAR,DWT,0,3,203
2004,CN,VIAR,COST,23977018,0,81
2004,CN,RGRL,D,202014,3,203
2004,CN,RGRL,DF,179632,3,203
2004,CN,RGRL,DP,3991,3,203
2004,CN,RGRL,DYS,15823,3,203
2004,CN,RGRL,DWT,2567,3,203
2004,CN,RGRL,COST,94371846,0,81
2005,CN,ALL,D,2130224,3,203
2005,CN,ALL,DF,1987726,3,203
2005,CN,ALL,DP,64986,3,203
2005,CN,ALL,DYS,67909,3,203
2005,CN,ALL,DWT,9603,3,203
2005,CN,ALL,COST,1153590667,0,81
2005,CN,CNNL,D,1028785,3,203
2005,CN,CNNL,DF,985880,3,203
2005,CN,CNNL,DP,424,3,203
2005,CN,CNNL,DYS,40106,3,203
2005,CN,CNNL,DWT,2375,3,203
2005,CN,CNNL,COST,552605898,0,81
2005,CN,CNPC,D,875823,3,203
2005,CN,CNPC,DF,854644,3,203
2005,CN,CNPC,DP,0,3,203
2005,CN,CNPC,DYS,16902,3,203
2005,CN,CNPC,DWT,4276,3,203
2005,CN,CNPC,COST,472080734,0,81
2005,CN,VIAR,D,60088,3,203
2005,CN,VIAR,DF,0,3,203
2005,CN,VIAR,DP,59838,3,203
2005,CN,VIAR,DYS,249,3,203
2005,CN,VIAR,DWT,0,3,203
2005,CN,VIAR,COST,30196526,0,81
