REF_DATE,GEO,DGUID,Companies,Length of track,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1990,Canada,2016A000011124,Canadian Pacific,Total line owned,Kilometres,196,units ,0,21691
1990,Canada,2016A000011124,Canadian Pacific,"Line owned, first main track",Kilometres,196,units ,0,9049
1990,Canada,2016A000011124,Canadian Pacific,"Line owned, second and other main track",Kilometres,196,units ,0,7295
1990,Canada,2016A000011124,Canadian Pacific,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,5347
1990,Canada,2016A000011124,Canadian Pacific,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,8676
1990,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,3235
1990,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,3180
1990,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,2261
1990,Canada,2016A000011124,VIA Rail,Total track operated,Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,Total line owned,Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Line owned, first main track",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Line owned, second and other main track",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1990,Canada,2016A000011124,Regional railways,Total track operated,Kilometres,196,units ,0,9438
1990,Canada,2016A000011124,Regional railways,Total line owned,Kilometres,196,units ,0,6556
1990,Canada,2016A000011124,Regional railways,"Line owned, first main track",Kilometres,196,units ,0,4555
1990,Canada,2016A000011124,Regional railways,"Line owned, second and other main track",Kilometres,196,units ,0,454
1990,Canada,2016A000011124,Regional railways,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,1546
1990,Canada,2016A000011124,Regional railways,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,2882
1990,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,1583
1990,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,285
1990,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,1014
1991,Canada,2016A000011124,Total companies,Total track operated,Kilometres,196,units ,0,85324
1991,Canada,2016A000011124,Total companies,Total line owned,Kilometres,196,units ,0,69916
1991,Canada,2016A000011124,Total companies,"Line owned, first main track",Kilometres,196,units ,0,32543
1991,Canada,2016A000011124,Total companies,"Line owned, second and other main track",Kilometres,196,units ,0,19851
1991,Canada,2016A000011124,Total companies,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,17523
1991,Canada,2016A000011124,Total companies,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,15408
1991,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,5727
1991,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,3362
1991,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,6320
1991,Canada,2016A000011124,Canadian National,Total track operated,Kilometres,196,units ,0,45822
1991,Canada,2016A000011124,Canadian National,Total line owned,Kilometres,196,units ,0,41772
1991,Canada,2016A000011124,Canadian National,"Line owned, first main track",Kilometres,196,units ,0,18824
