REF_DATE,GEO,DGUID,Companies,Diesel fuel consumption,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,4671
1991,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,252644218
1991,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,63955
1991,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1991,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,63446
1991,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,509
1991,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1991,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,19044806
1991,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,151898
1991,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,130685
1991,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,6650
1991,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,11331
1991,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,3231
1991,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,45853857
1992,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1894237
1992,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1704686
1992,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,61535
1992,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,116061
1992,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,11955
1992,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,573189775
1992,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,895952
1992,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,832667
1992,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1992,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,59031
