REF_DATE,GEO,DGUID,Level of education,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
2008/2009,Prince Edward Island,2016A000211,College,Percentage distribution of  expenditures,Percent,239,units ,0,17.9
2008/2009,Prince Edward Island,2016A000211,College,Index of change,Index,160,units ,0,106
2008/2009,Prince Edward Island,2016A000211,University,Constant dollars,Dollars,81,units ,0,133
2008/2009,Prince Edward Island,2016A000211,University,Percentage distribution of  expenditures,Percent,239,units ,0,30.3
2008/2009,Prince Edward Island,2016A000211,University,Index of change,Index,160,units ,0,113
2008/2009,Nova Scotia,2016A000212,All levels combined,Constant dollars,Dollars,81,units ,0,2674
2008/2009,Nova Scotia,2016A000212,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2008/2009,Nova Scotia,2016A000212,All levels combined,Index of change,Index,160,units ,0,100
2008/2009,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1507
2008/2009,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,56.3
2008/2009,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,106
2008/2009,Nova Scotia,2016A000212,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1168
2008/2009,Nova Scotia,2016A000212,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,43.7
2008/2009,Nova Scotia,2016A000212,Post-secondary levels combined,Index of change,Index,160,units ,0,93
2008/2009,Nova Scotia,2016A000212,College,Constant dollars,Dollars,81,units ,0,319
2008/2009,Nova Scotia,2016A000212,College,Percentage distribution of  expenditures,Percent,239,units ,0,11.9
2008/2009,Nova Scotia,2016A000212,College,Index of change,Index,160,units ,0,107
2008/2009,Nova Scotia,2016A000212,University,Constant dollars,Dollars,81,units ,0,848
2008/2009,Nova Scotia,2016A000212,University,Percentage distribution of  expenditures,Percent,239,units ,0,31.7
2008/2009,Nova Scotia,2016A000212,University,Index of change,Index,160,units ,0,88
2008/2009,New Brunswick,2016A000213,All levels combined,Constant dollars,Dollars,81,units ,0,2073
2008/2009,New Brunswick,2016A000213,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2008/2009,New Brunswick,2016A000213,All levels combined,Index of change,Index,160,units ,0,100
2008/2009,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1293
2008/2009,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,62.4
2008/2009,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,106
2008/2009,New Brunswick,2016A000213,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,780
2008/2009,New Brunswick,2016A000213,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,37.6
